UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,WEAPON15,DRUG15,LIQUOR15,FILTER13,FILTER14,FILTER15,FID,Longitude,Latitude
116563001,Bellus Academy-El Cajon,Main Campus,1073 E MAIN ST,EL CAJON,CA,92021,6,"Private for-profit, 2-year",2,116,118,0,0,0,0,0,0,0,0,0,1,1,1,63,-116.945591331133,32.7948703003232
116712001,John F. Kennedy University,Pleasant Hill Campus,100 ELLINWOOD WAY,PLEASANT HILL,CA,945234817,2,"Private nonprofit, 4-year or above",280,831,1111,0,0,0,0,0,0,0,0,0,1,1,1,64,-122.054935885684,37.956797718369
116846001,American Jewish University,Familian Campus,15600 MULHOLLAND DR,LOS ANGELES,CA,900771519,2,"Private nonprofit, 4-year or above",86,88,174,0,0,0,0,0,0,0,0,0,1,1,1,65,-118.471531715782,34.1295482876471
117052001,Reedley College,Reedley College,995 N REED AVE,REEDLEY,CA,93654,4,"Public, 2-year",4017,5819,9836,0,0,0,1,0,0,1,3,0,1,1,1,66,-119.457738268809,36.6056299922088
117104001,Life Pacific College,Life Pacific College,1100 W. Covina Blvd,San Dimas,CA,91773,2,"Private nonprofit, 4-year or above",282,330,612,0,0,0,0,0,0,0,0,0,1,1,1,67,-117.829050041725,34.0992929582582
117113001,Argosy University-The Art Institute of California-San Diego,The Art Institute of California - San Diego,7650 Mission Valley Road,SAN DIEGO,CA,92108,3,"Private for-profit, 4-year or above",759,623,1382,0,0,0,0,0,0,0,0,0,1,1,1,68,-117.155214978652,32.7778764114931
117140001,University of La Verne,MAIN CAMPUS,1950 THIRD ST,LA VERNE,CA,917504401,2,"Private nonprofit, 4-year or above",3245,5089,8334,0,2,0,0,0,0,0,0,0,1,1,1,69,-117.773998216961,34.1014661586147
117168001,Laguna College of Art and Design,Main Campus,2222 LAGUNA CANYON RD,LAGUNA BEACH,CA,92651,2,"Private nonprofit, 4-year or above",233,374,607,0,0,0,0,0,0,0,0,0,1,1,1,70,-117.772278062668,33.5611029380154
105525001,Pima Community College,West Campus,2202 W. Anklam Rd.,Tucson,AZ,857090001,4,"Public, 2-year",12669,14211,26880,0,0,1,0,1,2,1,1,5,1,1,1,71,-111.014545796384,32.2250445882305
109721001,Associated Technical College-Los Angeles,Main Campus,1670 Wilshire Blvd.,Los Angeles,CA,900171601,9,"Private for-profit, less-than 2-year",138,239,377,0,0,0,0,0,0,0,0,0,1,1,1,72,-118.272334556848,34.0563142160623
107211001,Lees School of Cosmetology,Lees School of Cosmetology,2700 W. PERSHING BLVD,NORTH LITTLE ROCK,AR,721143800,9,"Private for-profit, less-than 2-year",3,19,22,0,0,0,0,0,0,0,0,0,1,1,1,73,-92.2966883713128,34.7826984120821
105534001,Pima Medical Institute-Tucson,Tucson Campus,3350 E GRANT RD Suite 100,TUCSON,AZ,85716,3,"Private for-profit, 4-year or above",463,1560,2023,0,0,0,0,0,0,0,0,0,1,1,1,74,-110.921373722688,32.2504345485552
100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",796,991,1787,0,0,0,0,1,1,0,1,0,1,1,1,75,-85.9478204025177,32.9249974099288
109730001,Associated Technical College-San Diego,Main Campus,"707 BROADWAY, STE 300",SAN DIEGO,CA,92101,9,"Private for-profit, less-than 2-year",59,17,76,0,0,0,0,0,0,0,0,0,1,1,1,76,-117.157990499792,32.7156915141178
